Sale Date,Product Name,Sales Amount,Sales Target,Region,Sales Representative,Sales Team,Customer Segment
1/1/2022,Vector,13962.08,15035.8,South,Mike Johnson,Team Gamma,Education
1/2/2022,Orbit,7559.78,6458.58,North,Sarah Brown,Team Gamma,Enterprise
1/3/2022,Pulse,-6941.61,-6164.43,North,Jane Doe,Team Beta,Education
1/4/2022,Zenith,16388.47,16636.95,North,Sarah Brown,Team Alpha,Enterprise
1/5/2022,Pulse,11788.56,12178.41,East,Sarah Brown,Team Beta,Enterprise
1/6/2022,Stratus,15408.73,13256.93,East,John Smith,Team Gamma,Education
1/7/2022,Pulse,9572.09,10822.66,West,John Smith,Team Gamma,Enterprise
1/8/2022,Orbit,4702.69,4735.75,East,Jane Doe,Team Alpha,Small Business
1/9/2022,Vector,7296.39,6493.59,North,Sarah Brown,Team Beta,Government
1/10/2022,Stratus,10941.19,11285.09,East,John Smith,Team Alpha,Small Business
1/11/2022,Orbit,-4917.68,-4433.15,West,Sarah Brown,Team Beta,Government
1/12/2022,Orbit,6711.35,7316.03,South,Sarah Brown,Team Alpha,Non-Profit
1/13/2022,Zenith,16777.64,15350.91,North,John Smith,Team Alpha,Individual
1/14/2022,Orbit,-6039.5,-5969.32,East,Sarah Brown,Team Beta,Startup
1/15/2022,Vector,7118.09,7002.25,North,Mike Johnson,Team Beta,Startup
1/16/2022,Zenith,4876.19,4352.2,South,John Smith,Team Beta,Startup
1/17/2022,Vector,4034.95,4102.07,South,Jane Doe,Team Beta,Corporate
1/18/2022,Zenith,2357.21,2359.21,South,Jane Doe,Team Beta,Startup
1/19/2022,Stratus,10570.9,11016.71,East,John Smith,Team Beta,Small Business
1/20/2022,Vector,16542.95,18108.94,South,John Smith,Team Alpha,Small Business
1/21/2022,Stratus,17211.56,18410.7,South,Jane Doe,Team Alpha,Education
1/22/2022,Stratus,14463.8,14428.64,South,Mike Johnson,Team Gamma,Non-Profit
1/23/2022,Orbit,10288.79,9069.6,West,Sarah Brown,Team Alpha,Enterprise
1/24/2022,Zenith,11490.84,11986.98,North,Jane Doe,Team Gamma,Corporate
1/25/2022,Pulse,21021.85,20805.26,South,Mike Johnson,Team Alpha,Non-Profit
1/26/2022,Pulse,2562.59,2650.27,North,Sarah Brown,Team Gamma,Individual
1/27/2022,Zenith,14731.19,12673.28,West,Sarah Brown,Team Beta,Government
1/28/2022,Pulse,13750.83,14924.98,North,John Smith,Team Alpha,Education
1/29/2022,Zenith,7594.65,8048.22,North,John Smith,Team Alpha,Government
1/30/2022,Vector,9643.41,9411.94,South,Sarah Brown,Team Beta,Government
1/31/2022,Zenith,5999.41,5139.09,North,Sarah Brown,Team Gamma,Individual
2/1/2022,Pulse,8558.8,8813.7,West,Jane Doe,Team Gamma,Government
2/2/2022,Pulse,8200.59,9463.09,North,Mike Johnson,Team Beta,Corporate
2/3/2022,Vector,-1089.74,-1028.83,North,Mike Johnson,Team Gamma,Government
2/4/2022,Zenith,5331.12,4770.18,West,Mike Johnson,Team Beta,Corporate
2/5/2022,Zenith,8165.11,7684.12,South,Mike Johnson,Team Alpha,Startup
2/6/2022,Stratus,14401.2,14071.13,South,Jane Doe,Team Alpha,Non-Profit
2/7/2022,Stratus,15438.24,15359.86,South,Mike Johnson,Team Gamma,Small Business
2/8/2022,Orbit,-8267.75,-7577.32,North,Mike Johnson,Team Gamma,Individual
2/9/2022,Orbit,4295.27,4374.53,South,Jane Doe,Team Beta,Non-Profit
2/10/2022,Orbit,4178.34,4126.2,South,John Smith,Team Gamma,Individual
2/11/2022,Zenith,5015.68,5409.07,East,John Smith,Team Gamma,Education
2/12/2022,Pulse,13198.63,12654.04,South,John Smith,Team Alpha,Individual
2/13/2022,Zenith,4704.61,4673.08,West,Mike Johnson,Team Alpha,Corporate
2/14/2022,Vector,21310.49,21265.74,North,Sarah Brown,Team Beta,Education
2/15/2022,Pulse,5523.8,5477.84,South,Sarah Brown,Team Beta,Corporate
2/16/2022,Pulse,7863.18,7580.08,East,Sarah Brown,Team Beta,Individual
2/17/2022,Zenith,7902.37,7599.08,South,Sarah Brown,Team Gamma,Education
2/18/2022,Pulse,12516.57,12207.46,West,Jane Doe,Team Gamma,Small Business
2/19/2022,Zenith,10261.31,11234.83,North,Sarah Brown,Team Gamma,Small Business
2/20/2022,Vector,7703.49,7630.25,West,Mike Johnson,Team Gamma,Enterprise
